권역	지역	예보일자	예보시간	기온(°C)	습도(%)	체감온도(°C)	폭염단계	강수형태	강수량(mm)	풍속(m/s)	풍속단계
호남	제주시	2026-07-20	14:00	33	75	34.8	주의	없음	강수없음	1.2	정상
호남	제주시	2026-07-20	15:00	33	75	34.8	주의	없음	강수없음	1.4	정상
호남	제주시	2026-07-20	16:00	33	75	34.8	주의	없음	강수없음	1.2	정상
부산(경남)	김해	2026-07-20	15:00	33	75	34.8	주의	없음	강수없음	3.1	정상
부산(경남)	양산	2026-07-20	14:00	33	75	34.8	주의	없음	강수없음	2.9	정상
부산(경남)	양산	2026-07-20	15:00	33	75	34.8	주의	없음	강수없음	3.1	정상
부산(경남)	양산	2026-07-20	16:00	33	75	34.8	주의	없음	강수없음	3	정상
부산(경남)	진주	2026-07-20	13:00	33	75	34.8	주의	없음	강수없음	3.1	정상
부산(경남)	진주	2026-07-20	14:00	33	75	34.8	주의	없음	강수없음	3.6	정상
부산(경남)	진주	2026-07-20	15:00	33	75	34.8	주의	없음	강수없음	3.7	정상
부산(경남)	진주	2026-07-20	16:00	33	75	34.8	주의	없음	강수없음	3.6	정상
호남	광주	2026-07-20	13:00	32	85	34.5	주의	비	6.0mm	2.1	정상
대구(경북)	경주	2026-07-20	14:00	33	70	34.3	주의	비	4.0mm	1.4	정상
대구(경북)	고령	2026-07-20	15:00	33	70	34.3	주의	없음	강수없음	2.4	정상
부산(경남)	의령	2026-07-20	14:00	33	70	34.3	주의	없음	강수없음	2.6	정상
부산(경남)	의령	2026-07-20	15:00	33	70	34.3	주의	없음	강수없음	2.9	정상
부산(경남)	의령	2026-07-20	16:00	33	70	34.3	주의	없음	강수없음	2.9	정상
호남	남원	2026-07-20	13:00	32	80	34.1	주의	비	3.0mm	2.4	정상
호남	정읍	2026-07-20	14:00	32	80	34.1	주의	비	3.0mm	1.1	정상
호남	부안	2026-07-20	14:00	32	80	34.1	주의	비	2.0mm	0.8	정상
호남	정읍	2026-07-20	15:00	32	80	34.1	주의	비	2.0mm	2.1	정상
대구(경북)	의성	2026-07-20	15:00	32	80	34.1	주의	비	14.0mm	1.7	정상
호남	광주	2026-07-20	14:00	32	80	34.1	주의	비	11.0mm	2.7	정상
호남	익산	2026-07-20	15:00	32	80	34.1	주의	비	1.0mm	0.5	정상
호남	광주	2026-07-20	15:00	32	80	34.1	주의	없음	강수없음	2.7	정상
호남	광주	2026-07-20	16:00	32	80	34.1	주의	없음	강수없음	2.6	정상
호남	남원	2026-07-20	14:00	32	80	34.1	주의	없음	강수없음	1.7	정상
호남	남원	2026-07-20	15:00	32	80	34.1	주의	없음	강수없음	1.5	정상
호남	부안	2026-07-20	15:00	32	80	34.1	주의	없음	강수없음	1.5	정상
대구(경북)	구미	2026-07-20	16:00	32	80	34.1	주의	없음	강수없음	0.4	정상
부산(경남)	진주	2026-07-20	11:00	32	80	34.1	주의	없음	강수없음	2.4	정상
대구(경북)	영천	2026-07-20	14:00	33	65	33.9	주의	비	6.0mm	1.6	정상
충청	아산	2026-07-20	16:00	31	90	33.9	주의	비	4.0mm	0.3	정상
호남	김제	2026-07-20	16:00	31	90	33.9	주의	비	3.0mm	1.6	정상
대구(경북)	울릉	2026-07-20	14:00	33	65	33.9	주의	없음	강수없음	2.7	정상
대구(경북)	울릉	2026-07-20	15:00	33	65	33.9	주의	없음	강수없음	2.9	정상
대구(경북)	울릉	2026-07-20	16:00	33	65	33.9	주의	없음	강수없음	2.8	정상
대구(경북)	울릉	2026-07-20	17:00	33	65	33.9	주의	없음	강수없음	2.5	정상
부산(경남)	울산	2026-07-20	14:00	33	65	33.9	주의	없음	강수없음	2.7	정상
부산(경남)	울산	2026-07-20	15:00	33	65	33.9	주의	없음	강수없음	2.9	정상
부산(경남)	울산	2026-07-20	16:00	33	65	33.9	주의	없음	강수없음	2.8	정상
부산(경남)	울산	2026-07-20	17:00	33	65	33.9	주의	없음	강수없음	2.5	정상
부산(경남)	김해	2026-07-20	16:00	32	75	33.7	주의	비	8.0mm	2.8	정상
부산(경남)	창원	2026-07-20	16:00	32	75	33.7	주의	비	6.0mm	2.7	정상
부산(경남)	부산	2026-07-20	15:00	32	75	33.7	주의	비	5.0mm	3.1	정상
부산(경남)	부산	2026-07-20	16:00	32	75	33.7	주의	비	4.0mm	3	정상
부산(경남)	마산	2026-07-20	15:00	32	75	33.7	주의	비	3.0mm	3.2	정상
호남	전주	2026-07-20	15:00	32	75	33.7	주의	비	11.0mm	0.7	정상
호남	광양	2026-07-20	14:00	32	75	33.7	주의	없음	강수없음	2.6	정상
호남	광양	2026-07-20	15:00	32	75	33.7	주의	없음	강수없음	2.7	정상
